Gene,log2FoldChange (FC),abs(FC),P-adjusted
DYSF,-5.236095865,5.236095865,1.06903E-17
FAM129A,-5.007478049,5.007478049,2.49819E-13
ATG9B,-4.981373148,4.981373148,1.11374E-14
ATP8B3,-4.832961229,4.832961229,1.05752E-11
mCherry,-4.369329277,4.369329277,6.60771E-08
FOSL1,-4.324352274,4.324352274,1.38774E-14
HSPB1,-4.298570043,4.298570043,0.005144364
SLC7A11,-4.100698624,4.100698624,8.30859E-22
ARAP3,-4.082647034,4.082647034,0.000451711
HSPB8,-4.075576838,4.075576838,4.62617E-06
PPAP2C,-4.050829844,4.050829844,0.000209686
LINC00704,-4.030119488,4.030119488,0.000276329
CXorf22,-3.994399219,3.994399219,1.56416E-09
FBXO2,-3.778160063,3.778160063,1.34571E-12
OSCAR,-3.51416675,3.51416675,0.000990092
HKDC1,-3.51066253,3.51066253,8.63172E-05
TMTC1,-3.283392237,3.283392237,3.31347E-13
CHDC2,-3.27502158,3.27502158,4.67974E-07
CEBPB,-3.223984237,3.223984237,0.003812171
RP1-155G6.4,-3.206668123,3.206668123,0.000596736
AKR1C2,-3.142175428,3.142175428,2.10305E-07
PSAT1,-3.134594762,3.134594762,0.000115623
SH3BGRL3,-3.079193795,3.079193795,1.71383E-05
PCYT1B,-3.01565795,3.01565795,1.55052E-07
EGF,-3.008716592,3.008716592,2.80298E-07
ASAP2,-2.967820236,2.967820236,5.70425E-23
AP000253.1,-2.876462823,2.876462823,0.000183827
BHMT2,-2.830450543,2.830450543,1.48669E-51
GLA,-2.82642697,2.82642697,6.85224E-24
NRIP3,-2.80196112,2.80196112,0.006876494
CRLF1,-2.800569805,2.800569805,0.000708468
RP11-65J21.3,-2.773129351,2.773129351,4.13941E-11
TFR2,-2.772482641,2.772482641,0.006318364
CXorf30,-2.596992647,2.596992647,6.04942E-06
ALDH2,-2.589853693,2.589853693,9.01487E-07
PDE2A,-2.570117006,2.570117006,0.001832209
RP11-293M10.5,-2.567228985,2.567228985,0.005203139
FGF13,-2.564072133,2.564072133,4.80042E-12
BPIFC,-2.556175723,2.556175723,7.53325E-15
PRSS3,-2.548337085,2.548337085,0.002875889
C10orf35,-2.506117105,2.506117105,1.37352E-11
BLVRB,-2.47958993,2.47958993,1.18548E-42
TNFRSF10A,-2.473747737,2.473747737,0.00169329
TRIM67,-2.472575793,2.472575793,1.95618E-08
IFI44,-2.444699396,2.444699396,0.000502911
C16orf93,-2.429755294,2.429755294,4.90881E-22
