#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000147381,MAGEA4,0.007,0.001,0.002,0.176,0.001,0.02,0.038,0.011,0.01,0.1,0.019,0.034,0.014,0.407,0.137,0.007,0.003,0.02,0.012,0.011,20
ENSG00000127399,LRRC61,5.314,0.469,0.028,1,0.108,0.218,5.855,0.312,3.896,0.181,3.802,0.048,1.964,2.254,3.74,0.04,2.484,0.064,0.146,0.108,19
ENSG00000172116,CD8B,4.602,6.039,5.62,4.922,3.98,1,2.351,7.021,9.242,3.355,3.335,2.222,5.888,2.454,20.31,5.327,5.242,4.909,4.802,3.371,19
ENSG00000047932,GOPC,0.024,0.155,0.072,1,0.101,0.278,0.023,0.1,0.162,0.054,0.111,0.395,0.174,1,0.582,0.103,0.012,0.115,0.234,0.061,18
ENSG00000073282,TP63,8.227,5.995,4.326,2.91,7.376,0.402,1.767,1,26.16,3.923,3.692,3.138,17.543,2.44,4.158,9.835,3.04,13.694,12.97,1,18
ENSG00000075673,ATP12A,9.129,10.964,4.238,6.17,2.729,0.608,2.904,1,2.879,11.415,4.755,1.698,5.283,1.879,8.677,10.009,1.842,1.945,3.573,1,18
ENSG00000141434,MEP1B,0.096,0.093,0.082,0.155,0.166,1,0.256,0.151,0.01,0.109,0.182,0.245,0.168,0.65,0.133,0.121,0.183,0.238,0.357,1,18
ENSG00000163623,NKX6-1,0.171,0.128,0.246,0.318,0.305,0.517,0.446,1,0.11,0.373,0.166,0.147,0.267,0.554,0.042,0.113,0.214,0.342,0.284,1,18
ENSG00000180787,ZFP3,0.107,0.59,0.134,0.332,0.104,0.664,0.294,0.586,0.462,0.364,0.598,1,0.173,1,0.652,0.236,0.045,0.238,0.487,0.438,18
ENSG00000188707,ZBED6CL,2.68,0.516,0.027,1.818,0.077,0.102,2.168,0.203,3.585,0.087,2.137,0.066,1,1,2.296,0.032,2.772,0.039,0.052,0.08,18
ENSG00000229967,MAGEA4-AS1,0.006,0.003,0.009,1,0.007,0.008,0.011,0.013,0.025,0.093,0.012,0.013,0.007,1,0.026,0.006,0.009,0.049,0.007,0.008,18
ENSG00000258702,AL137786.1,0.031,0.168,0.047,1,0.055,0.093,0.008,0.072,0.024,0.013,0.018,0.036,0.01,1,0.039,0.009,0.013,0.011,0.039,0.011,18
ENSG00000054803,CBLN4,0.005,0.348,0.373,9.956,0.415,5.679,0.037,1,0.006,6.178,0.05,1,0.182,0.169,0.122,0.006,0.008,1,0.142,0.124,17
ENSG00000100336,APOL4,0.014,0.031,0.047,0.038,0.048,0.014,0.027,1,1,0.033,0.023,0.029,0.035,0.038,1,0.035,0.027,0.077,0.031,0.035,17
ENSG00000102575,ACP5,7.412,4.476,4.093,2.459,4.117,2.54,5.19,2.227,2.205,4.893,5.606,1,6.371,1,2.593,4.082,4.194,4.715,4.019,1,17
ENSG00000122861,PLAU,1.744,1,2.166,3.112,2.96,2.961,0.437,5.583,2.475,2.223,1.932,2.735,4.018,1,2.504,2.78,1,2.485,6.05,5.493,17
ENSG00000126733,DACH2,0.317,0.561,0.466,0.231,0.505,0.665,0.574,0.302,0.467,1,0.325,0.445,0.564,1,0.561,0.453,0.464,0.426,0.598,1,17
ENSG00000128594,LRRC4,1,2.75,3.221,3.338,2.253,1.689,1,12.388,10.248,1.874,1.592,2.5,2.307,0.478,1.641,2.818,1,1.91,2.079,1.686,17
ENSG00000131096,PYY,15.193,2.848,18.239,5.501,13.619,1,1.692,1,31.676,2.619,2.966,0.451,7.965,1,4.592,11.712,3.237,3.613,7.995,1.805,17
ENSG00000169604,ANTXR1,1,0.629,2.087,2.077,1.806,1.653,0.377,4.591,4.929,0.548,0.547,2.157,1.743,0.56,0.481,1.626,1,1,2.606,1.583,17
ENSG00000175793,SFN,7.683,1,6.626,4.638,5.648,8.414,4.19,15.596,11.943,3.563,10.249,10.765,17.202,1,6.806,11.331,5.136,5.681,9.601,1,17
ENSG00000175806,MSRA,0.481,0.315,0.462,0.537,0.492,1,0.63,0.536,0.359,0.606,0.429,0.324,0.432,1,0.368,0.367,0.441,0.354,0.499,1,17
ENSG00000180044,C3orf80,3.649,2.79,5.128,2.576,6.054,1,1.799,2.312,10.418,2.072,2.125,2.367,5.158,1,3.536,4.997,2.675,2.847,2.647,1,17
ENSG00000203685,STUM,0.286,0.282,0.282,0.528,0.53,0.659,0.417,1,0.151,0.258,0.453,0.582,0.575,1.528,0.17,0.314,0.246,1,0.617,1,17
ENSG00000231890,DARS1-AS1,0.295,0.265,0.338,0.347,0.276,1,0.664,0.466,0.104,0.33,0.51,0.642,0.31,1,0.333,0.212,0.6,0.234,0.45,1,17
ENSG00000235984,GPC5-AS1,2.445,2.65,2.108,2.565,2.558,1,2.029,2.341,9.078,3.432,2.317,2.553,4.555,1,3.98,2.627,2.278,3.847,1.952,1,17
ENSG00000236393,AC091806.1,0.006,1,0.009,0.145,0.007,0.006,0.005,0.021,1,0.009,0.012,0.081,0.007,0.01,0.007,0.022,0.008,0.007,0.007,1,17
ENSG00000245750,DRAIC,0.137,0.158,0.24,0.345,0.177,1,0.381,1,0.211,0.419,0.295,0.405,0.135,0.397,0.205,0.295,0.49,0.074,0.203,1,17
ENSG00000253269,AC008680.1,0.094,0.104,0.43,0.237,0.193,1,0.533,0.018,0.006,0.07,0.342,0.337,0.172,1,0.103,0.067,1,0.236,0.11,0.298,17
ENSG00000256771,ZNF253,0.078,0.098,0.089,1,0.109,13.577,0.057,1,0.223,0.048,0.072,16.164,0.33,1,0.267,14.141,0.134,0.175,0.192,0.113,17
ENSG00000258499,LINC02287,0.193,0.326,0.333,0.382,0.394,1,0.429,0.493,0.09,0.527,0.34,0.439,0.361,1,0.114,0.153,0.366,0.337,0.409,1,17
ENSG00000271824,SMIM32,4.153,1.577,4.155,2.504,3.453,1,2.94,1.571,5.168,2.915,2.128,0.398,2.366,1,2.841,2.356,2.697,2.018,1.581,1,17
ENSG00000272505,AC104964.3,0.167,0.481,0.24,0.292,0.229,1,0.269,0.305,0.203,0.351,0.232,0.534,0.228,1,0.135,0.188,0.396,0.337,0.346,1,17
ENSG00000286069,AC076968.2,0.058,0.138,0.146,0.209,0.199,1,0.279,0.435,0.009,0.167,0.153,0.36,0.169,1,0.076,0.114,0.201,0.141,0.366,1,17
ENSG00000100314,CABP7,0.159,0.229,0.301,0.408,0.186,1,0.291,0.46,0.187,1,0.182,0.139,0.31,1,0.117,0.161,0.339,0.139,0.289,1,16
ENSG00000105404,RABAC1,2.605,1,2.154,1.658,1.812,0.628,2.838,2.298,2.079,2.192,1.987,0.593,2.187,1,1.791,1.706,1,1.742,1.761,1,16
ENSG00000113721,PDGFRB,3.63,3.676,2.175,5.425,3.028,1,3.027,4.953,4.9,2.748,2.969,3.412,3.865,1,15.852,4.995,1,3.66,4.772,1,16
ENSG00000115107,STEAP3,4.443,3.115,2.648,3.994,2.62,1,2.415,1.71,2.766,3.288,2.207,3.013,3.84,1,5.737,4.791,1,2.194,2.744,1,16
ENSG00000138207,RBP4,5.363,2.798,2.746,2.268,2.88,1,3.413,0.282,0.381,3.531,3.256,2.049,3.985,1,5.088,7.128,1,2.278,2.46,1,16
ENSG00000144891,AGTR1,0.429,0.612,0.433,0.555,0.457,1,1,0.131,0.029,0.422,0.517,2.558,1,1.775,1,1.736,0.549,0.288,1.688,0.594,16
ENSG00000148219,ASTN2,0.399,0.353,0.593,1,0.511,1,0.555,1.641,0.662,0.587,0.49,0.361,0.414,1,0.203,0.262,0.519,0.481,0.525,1,16
ENSG00000154127,UBASH3B,2.01,2.267,4.226,5.356,2.597,2.565,1,2.342,4.497,1,1.758,2.898,3.447,1,2.402,2.922,2.501,1.876,3.919,1,16
ENSG00000154856,APCDD1,2.981,1.892,4.869,1.772,2.954,1,1,1,4.981,2.653,1.876,0.463,2.53,1,3.936,3.389,3.732,2.74,1.873,1.52,16
ENSG00000162493,PDPN,1,0.511,1.637,3.108,1,1.793,0.433,9.431,11.345,1.738,0.414,1.897,2.696,0.458,1.677,2.018,1,1.81,4.004,1,16
