Gene,Region,Top score,Curated Approach,EPI,ICP,Curated Approach probability,Curated Approach locus,EPI probability,EPI locus,ICP probability,ICP locus
PCDH17,13 : 58205944 - 58303445,5,0,0,5,,,,,0.8,PCDH17_13_58965435
DPEP1,16 : 89679716 - 89704864,5,0,0,5,,,,,0.84,SPG7_16_89564055
SLC12A8,3 : 124801480 - 124931708,5,0,5,0,,,0.883934021,3 : 124669777 - 125169778,,
ATXN7,3 : 63884075 - 63989129,5,0,5,1,,,0.884170294,3 : 63732670 - 64232671,0.4,PSMD6_3_63962339
BCL2,18 : 60790579 - 60987361,5,0,5,0,,,0.88624531,18 : 60595884 - 61095885,,
FBRSL1,12 : 133066137 - 133161774,5,0,5,0,,,0.890214682,12 : 132816392 - 133316393,,
HMGA1,6 : 34204650 - 34214008,5,0,5,0,,,0.892763376,6 : 33997047 - 34497048,,
JADE2,5 : 133860003 - 133918920,5,0,5,1,,,0.894567847,5 : 133615452 - 134115453,0.44,PHF15_5_133864599
DNMT3A,2 : 25450724 - 25565459,5,0,5,0,,,0.918475032,2 : 25283568 - 25783569,,
TP53INP1,8 : 95938200 - 95961639,5,2,4,5,POSSIBLE,,0.860884726,8 : 95435147 - 96210768,0.8,TP53INP1_8_95685147
JAZF1,7 : 27870192 - 28220362,5,3,5,0,MODERATE,,0.897078693,7 : 27946413 - 28446414,,
ZNF771,16 : 30418618 - 30442429,5,5,0,0,CAUSAL,,,,,
WSCD2,12 : 108523248 - 108644314,5,5,3,0,CAUSAL,,0.816987514,12 : 108379780 - 108879781,,
WFS1,4 : 6271576 - 6304992,5,5,0,0,CAUSAL,,,,,
TM6SF2,19 : 19375173 - 19384200,5,5,0,0,CAUSAL,,,,,
TBC1D4,13 : 75857639 - 76056250,5,5,0,0,CAUSAL,,,,,
SLC5A1,22 : 32439019 - 32509016,5,5,0,0,CAUSAL,,,,,
SLC30A8,8 : 117962512 - 118188953,5,5,4,0,CAUSAL,,0.865120649,8 : 117934783 - 118434784,,
SLC16A11,17 : 6944949 - 6947242,5,5,0,0,CAUSAL,,,,,
RREB1,6 : 7107830 - 7252213,5,5,4,0,CAUSAL,,0.863790512,6 : 6824687 - 7481844,,
QSER1,11 : 32914366 - 33014862,5,5,0,0,CAUSAL,,,,,
PPARG,3 : 12328867 - 12475855,5,5,3,0,CAUSAL,,0.825100243,3 : 11826562 - 12579784,,
POC5,5 : 74969949 - 75013306,5,5,0,0,CAUSAL,,,,,
PNPLA3,22 : 44319619 - 44360368,5,5,4,0,CAUSAL,,0.875879228,22 : 44074730 - 44574731,,
PLCB3,11 : 64018995 - 64036622,5,5,0,0,CAUSAL,,,,,
PDX1,13 : 28494157 - 28500368,5,5,0,0,CAUSAL,,,,,
PAX4,7 : 127250346 - 127258168,5,5,0,0,CAUSAL,,,,,
PATJ,1 : 62208078 - 62644347,5,5,0,0,CAUSAL,,,,,
PAM,5 : 102089685 - 102366809,5,5,0,0,CAUSAL,,,,,
NKX2-2,20 : 21491648 - 21494664,5,5,0,0,CAUSAL,,,,,
NEUROG3,10 : 71331454 - 71332994,5,5,3,0,CAUSAL,,0.830104053,10 : 71071279 - 71720826,,
MTNR1B,11 : 92702886 - 92718232,5,5,3,0,CAUSAL,,0.816297591,11 : 92458710 - 93310240,,
MNX1,7 : 156786745 - 156803345,5,5,2,0,CAUSAL,,0.800004363,7 : 156680550 - 157180551,,
MC4R,18 : 58038295 - 58040008,5,5,0,0,CAUSAL,,,,,
LPL,8 : 19759228 - 19824770,5,5,0,0,CAUSAL,,,,,
KCNJ11,11 : 17407406 - 17410878,5,5,3,0,CAUSAL,,0.830197334,11 : 16851554 - 17658405,,
IRS2,13 : 110405045 - 110438915,5,5,0,0,CAUSAL,,,,,
INS,11 : 2181009 - 2182571,5,5,0,0,CAUSAL,,,,,
IGF2,11 : 2150342 - 2179888,5,5,0,0,CAUSAL,,,,,
HNF4A,20 : 42984340 - 43063236,5,5,3,0,CAUSAL,,0.822072923,20 : 42746184 - 43292365,,
HNF1B,17 : 36046435 - 36105238,5,5,3,0,CAUSAL,,0.843052089,17 : 35849952 - 36349953,,
HNF1A,12 : 121416346 - 121440315,5,5,4,0,CAUSAL,,0.852745652,12 : 121166864 - 121679195,,
GLP1R,6 : 39016574 - 39055519,5,5,0,0,CAUSAL,,,,,
GLIS3,9 : 3824127 - 4348392,5,5,1,0,CAUSAL,,0.757818818,9 : 4041928 - 4541929,,
GIPR,19 : 46171502 - 46186982,5,5,4,0,CAUSAL,,0.864522576,19 : 45928661 - 46428662,,
GCKR,2 : 27719709 - 27746551,5,5,0,0,CAUSAL,,,,,
GCK,7 : 44183870 - 44237769,5,5,2,0,CAUSAL,,0.809410095,7 : 44005643 - 44505644,,
CDKN1B,12 : 12867992 - 12875305,5,5,1,0,CAUSAL,,0.754571676,12 : 12621099 - 13121100,,
APOE,19 : 45409011 - 45412650,5,5,0,0,CAUSAL,,,,,
ANKH,5 : 14704909 - 14871894,5,5,3,0,CAUSAL,,0.842530847,5 : 14501305 - 15060835,,
ANGPTL4,19 : 8428173 - 8439257,5,5,0,0,CAUSAL,,,,,
ABCC8,11 : 17414045 - 17498426,5,5,0,0,CAUSAL,,,,,
RBMS1,2 : 161128662 - 161350305,4,0,0,4,,,,,0.68,RBMS1_2_161135544
ATP2A3,17 : 3827164 - 3867758,4,0,0,4,,,,,0.68,ZZEF1_17_3860356
GLP2R,17 : 9725523 - 9795419,4,0,0,4,,,,,0.72,GLP2R_17_9785187
HAUS6,9 : 19053141 - 19103117,4,0,4,0,,,0.851529837,9 : 18815825 - 19315826,,
ARAP1,11 : 72396114 - 72504644,4,0,4,0,,,0.852657974,11 : 72210398 - 72971272,,
BMF,15 : 40380091 - 40401093,4,0,4,0,,,0.853806436,15 : 40148754 - 40648755,,
PEPD,19 : 33877856 - 34012700,4,0,4,0,,,0.854861736,19 : 33676402 - 34176403,,
HMGA2,12 : 66217911 - 66360075,4,0,4,2,,,0.855663478,12 : 65971060 - 66596625,0.56,HMGA2_12_66358347
RASGRP1,15 : 38780304 - 38857776,4,0,4,0,,,0.855675757,15 : 38602386 - 39102387,,
TLE1,9 : 84198598 - 84304220,4,0,4,3,,,0.858038843,9 : 84058948 - 84558949,0.6,TLE1_9_84308948
IGF2BP3,7 : 23349828 - 23510086,4,0,4,1,,,0.858073771,7 : 23262896 - 23762897,0.48,IGF2BP3_7_23512896
COBLL1,2 : 165510134 - 165700189,4,0,4,0,,,0.860340297,2 : 165258389 - 166012010,,
EYA2,20 : 45523263 - 45817492,4,0,4,0,,,0.861776114,20 : 45348564 - 45848565,,
CMIP,16 : 81478775 - 81745367,4,0,4,3,,,0.862145782,16 : 81284790 - 81784791,0.6,CMIP_16_81534790
TCF4,18 : 52889562 - 53332018,4,0,4,0,,,0.862573981,18 : 52837984 - 53337985,,
PABPC4,1 : 40026488 - 40042462,4,0,4,0,,,0.864929676,1 : 39529802 - 40285929,,
KCNQ1,11 : 2465914 - 2870340,4,0,4,0,,,0.865873158,11 : 1823182 - 3107195,,
SSR1,6 : 7268539 - 7347679,4,0,4,0,,,0.867838204,6 : 6824687 - 7481844,,
FAM13A,4 : 89647106 - 90032549,4,0,4,2,,,0.875909686,4 : 89501858 - 90001859,0.52,FAM13A_4_89740894
TSPAN8,12 : 71518865 - 71835678,4,0,4,0,,,0.876659989,12 : 71272953 - 71772954,,
ST6GAL1,3 : 186648274 - 186796341,4,2,4,0,POSSIBLE,,0.882712662,3 : 186415645 - 186915646,,
SCD5,4 : 83550692 - 83720010,4,2,4,1,POSSIBLE,,0.880594015,4 : 83337562 - 83837563,0.44,SCD5_4_83578271
ZMIZ1,10 : 80828792 - 81076285,4,4,4,0,STRONG,,0.852519631,10 : 80703451 - 81203452,,
TCF7L2,10 : 114710009 - 114927437,4,4,0,0,STRONG,,,,,
STARD10,11 : 72465774 - 72504726,4,4,0,0,STRONG,,,,,
SLC2A2,3 : 170714137 - 170744539,4,4,0,0,STRONG,,,,,
LMNA,1 : 156052364 - 156109880,4,4,0,0,STRONG,,,,,
KLHL42,12 : 27932953 - 27955973,4,4,0,0,STRONG,,,,,
KLF14,7 : 130416063 - 130418936,4,4,0,0,STRONG,,,,,
IRX5,16 : 54964774 - 54968397,4,4,0,0,STRONG,,,,,
IRX3,16 : 54317216 - 54320675,4,4,0,0,STRONG,,,,,
IRS1,2 : 227596033 - 227664475,4,4,0,0,STRONG,,,,,
INSR,19 : 7112266 - 7294045,4,4,0,0,STRONG,,,,,
DGKB,7 : 14184674 - 15014402,4,4,0,0,STRONG,,,,,
CCND2,12 : 4382938 - 4414516,4,4,0,0,STRONG,,,,,
CAMK1D,10 : 12391481 - 12877545,4,4,0,0,STRONG,,,,,
C2CD4B,15 : 62455734 - 62457482,4,4,0,0,STRONG,,,,,
BCAR1,16 : 75262085 - 75301951,4,4,0,0,STRONG,,,,,
ABCB9,12 : 123405498 - 123466196,4,4,0,0,STRONG,,,,,
TMBIM1,2 : 219138915 - 219157309,3,0,0,3,,,,,0.6,CRYBA2_2_219859171
PLIN2,9 : 19108373 - 19149288,3,0,0,3,,,,,0.6,HAUS6_9_19067833
FAM221A,7 : 23719749 - 23742868,3,0,0,3,,,,,0.6,IGF2BP3_7_23512896
DGKG,3 : 185823457 - 186080026,3,0,0,3,,,,,0.6,IGF2BP2_3_185829891
CYP2R1,11 : 14898986 - 14913798,3,0,0,3,,,,,0.6,PDE3B_11_14763828
VEGFA,6 : 43737921 - 43754224,3,0,0,3,,,,,0.64,VEGFA_6_43760327
RCCD1,15 : 91498100 - 91506355,3,0,0,3,,,,,0.64,PRC1_15_91511260
RBM23,14 : 23362415 - 23388393,3,0,0,3,,,,,0.64,SLC7A7_14_23288935
PLIN4,19 : 4502192 - 4518477,3,0,0,3,,,,,0.64,UHRF1_19_4948862
FOCAD,9 : 20658308 - 20995954,3,0,0,3,,,,,0.64,FOCAD_9_20662703
DNAJB11,3 : 186285192 - 186303589,3,0,0,3,,,,,0.64,ST6GAL1_3_186665645
NDUFAF6,8 : 95907995 - 96128683,3,0,3,2,,,0.818994939,8 : 95435147 - 96210768,0.56,TP53INP1_8_96092422
C12orf43,12 : 121000486 - 121016502,3,0,3,0,,,0.820609272,12 : 121166864 - 121679195,,
CEP68,2 : 65283500 - 65314138,3,0,3,1,,,0.822703958,2 : 65029805 - 65905013,0.4,CEP68_2_65287896
PELO,5 : 52083774 - 52099880,3,0,3,0,,,0.82402271,5 : 51850489 - 52350490,,
PPIP5K2,5 : 102455853 - 102548500,3,0,3,0,,,0.824160814,5 : 100524699 - 103223338,,
ARL15,5 : 53179775 - 53606412,3,0,3,0,,,0.824517727,5 : 53022664 - 53522665,,
ETS1,11 : 128328656 - 128457453,3,0,3,0,,,0.826398373,11 : 127792575 - 128639392,,
PROX1,1 : 214156524 - 214214845,3,0,3,1,,,0.827214122,1 : 213909256 - 214409257,0.48,PROX1_1_214150821
RFC5,12 : 118451393 - 118470935,3,0,3,0,,,0.828084588,12 : 118204833 - 118704834,,
ITGA1,5 : 52083730 - 52255040,3,0,3,0,,,0.834084153,5 : 51850489 - 52350490,,
KDM2B,12 : 121866900 - 122018920,3,0,3,0,,,0.843613148,12 : 121688185 - 122188186,,
SPRED2,2 : 65537985 - 65659771,3,0,3,3,,,0.845088363,2 : 65029805 - 65905013,0.6,CEP68_2_65655012
CDKAL1,6 : 20534688 - 21232635,3,0,3,0,,,0.845312238,6 : 20423880 - 21280756,,
VPS13C,15 : 62144588 - 62352672,3,3,0,0,MODERATE,,,,,
UBE2E2,3 : 23244511 - 23633284,3,3,2,0,MODERATE,,0.784322858,3 : 22943007 - 23877177,,
SPRY2,13 : 80910111 - 80915086,3,3,0,0,MODERATE,,,,,
SGSM2,17 : 2240792 - 2284352,3,3,0,0,MODERATE,,,,,
PLIN1,15 : 90207596 - 90222658,3,3,0,0,MODERATE,,,,,
PDE8B,5 : 76506274 - 76725632,3,3,0,1,MODERATE,,,,0.4,ZBED3_5_76424949
NKX6-3,8 : 41502697 - 41508188,3,3,0,0,MODERATE,,,,,
MADD,11 : 47290712 - 47351582,3,3,0,0,MODERATE,,,,,
MACF1,1 : 39546988 - 39952849,3,3,0,0,MODERATE,,,,,
KCNK17,6 : 39266777 - 39282329,3,3,0,0,MODERATE,,,,,
IGF2BP2,3 : 185361527 - 185542844,3,3,0,1,MODERATE,,,,0.4,IGF2BP2_3_185514421
GPSM1,9 : 139221932 - 139254057,3,3,0,0,MODERATE,,,,,
FOXA2,20 : 22561643 - 22566093,3,3,0,0,MODERATE,,,,,
FAM63A,1 : 150996549 - 151008376,3,3,0,0,MODERATE,,,,,
CISD2,4 : 103790131 - 103813964,3,3,0,0,MODERATE,,,,,
BCL11A,2 : 60677655 - 60782289,3,3,0,0,MODERATE,,,,,
AP3S2,15 : 90373831 - 90437870,3,3,0,0,MODERATE,,,,,
AGTR2,X : 115301975 - 115306225,3,3,0,0,MODERATE,,,,,
AGPAT2,9 : 139567595 - 139581875,3,3,0,0,MODERATE,,,,,
ADCY5,3 : 123001143 - 123168605,3,3,3,0,MODERATE,,0.838690877,3 : 122815778 - 123315779,,
TRHR,8 : 110098850 - 110131813,2,0,0,2,,,,,0.52,TRHR_8_110123183
SLC26A5,7 : 102993177 - 103086624,2,0,0,2,,,,,0.52,RELN_7_102987583
NUDT3,6 : 34247456 - 34360451,2,0,0,2,,,,,0.52,HMGA1_6_34247047
KIF9,3 : 47269516 - 47324941,2,0,0,2,,,,,0.52,KIF9_3_47242923
DCUN1D4,4 : 52709166 - 52783003,2,0,0,2,,,,,0.52,USP46_4_52818664
CRY2,11 : 45868669 - 45904799,2,0,0,2,,,,,0.52,CRY2_11_45912013
ZNF732,4 : 264464 - 299110,2,0,0,2,,,,,0.56,PCGF3_4_616608
SLC13A3,20 : 45186462 - 45313106,2,0,0,2,,,,,0.56,EYA2_20_45317678
PDE3B,11 : 14665269 - 14893590,2,0,0,2,,,,,0.56,PDE3B_11_14763828
MCCC1,3 : 182733006 - 182833863,2,0,0,2,,,,,0.56,ABCC5_3_183738460
KSR2,12 : 117890817 - 118406788,2,0,0,2,,,,,0.56,KSR2_12_118412373
CA12,15 : 63613577 - 63674360,2,0,0,2,,,,,0.56,USP3_15_63871292
C1orf56,1 : 151047751 - 151051986,2,0,0,2,,,,,0.56,FAM63A_1_151017991
QPCTL,19 : 46195741 - 46207247,2,0,2,0,,,0.783609569,19 : 45928661 - 46428662,,
SHQ1,3 : 72798428 - 72911065,2,0,2,0,,,0.784271896,3 : 72615183 - 73115184,,
PTGFRN,1 : 117452679 - 117532980,2,0,2,2,,,0.786111176,1 : 117282790 - 117782791,0.52,PTGFRN_1_117532790
HEG1,3 : 124684554 - 124774802,2,0,2,0,,,0.787029386,3 : 124669777 - 125169778,,
MAP2K7,19 : 7968728 - 7979363,2,0,2,0,,,0.787331402,19 : 7720635 - 8679324,,
CAGE1,6 : 7326889 - 7389976,2,0,2,0,,,0.79107362,6 : 6824687 - 7481844,,
CACNA2D3,3 : 54156574 - 55108584,2,0,2,0,,,0.791637778,3 : 54578827 - 55078828,,
FTO,16 : 53735604 - 54192424,2,0,2,0,,,0.792373836,16 : 53580452 - 54080453,,
POMC,2 : 25383722 - 25391772,2,0,2,0,,,0.79244101,2 : 25283568 - 25783569,,
GRB14,2 : 165349322 - 165478358,2,0,2,0,,,0.794818699,2 : 165258389 - 166012010,,
FGFBP3,10 : 93666346 - 93669240,2,0,2,0,,,0.795562744,10 : 93615244 - 94717288,,
DPY19L4,8 : 95731931 - 95806064,2,0,2,0,,,0.796509981,8 : 95435147 - 96210768,,
CPQ,8 : 97657455 - 98161882,2,0,2,0,,,0.799428046,8 : 97487741 - 97987742,,
LTK,15 : 41795836 - 41806085,2,0,2,0,,,0.801046312,15 : 41568917 - 42365748,,
SAXO1,9 : 18858904 - 19049356,2,0,2,0,,,0.801245391,9 : 18815825 - 19315826,,
RRAGA,9 : 19049393 - 19050981,2,0,2,0,,,0.80279994,9 : 18815825 - 19315826,,
ZNF101,19 : 19779605 - 19794318,2,0,2,0,,,0.803302288,19 : 19157718 - 20036100,,
SLC7A7,14 : 23242431 - 23299029,2,0,2,1,,,0.80575192,14 : 23038935 - 23538936,0.48,SLC7A7_14_23288935
C5orf67,5 : 56511567 - 56606232,2,0,2,0,,,0.806218565,5 : 55558475 - 56118098,,
SNAPC4,9 : 139270029 - 139294620,2,2,0,0,POSSIBLE,,,,,
PTRF,17 : 42402449 - 42423256,2,2,0,0,POSSIBLE,,,,,
PRC1,15 : 91509268 - 91538859,2,2,0,0,POSSIBLE,,,,,
MRPS30,5 : 44809027 - 44820530,2,2,0,0,POSSIBLE,,,,,
IL17REL,22 : 50432942 - 50451088,2,2,0,0,POSSIBLE,,,,,
HMG20A,15 : 77712754 - 77777949,2,2,0,0,POSSIBLE,,,,,
FADS1,11 : 61567097 - 61596790,2,2,0,0,POSSIBLE,,,,,
CALCOCO2,17 : 46908350 - 46943884,2,2,0,0,POSSIBLE,,,,,
ASCC2,22 : 30184597 - 30234293,2,2,0,1,POSSIBLE,,,,0.4,MTMR3_ASCC2_22_30609554
ANK1,8 : 41510739 - 41754280,2,2,0,0,POSSIBLE,,,,,
PIM3,22 : 50354161 - 50357728,1,0,0,1,,,,,0.4,PIM3_22_50356850
PDHX,11 : 34937376 - 35042138,1,0,0,1,,,,,0.4,PDHX_11_34982148
NRXN3,14 : 78636716 - 80334633,1,0,0,1,,,,,0.4,NRXN3_14_79932041
LCORL,4 : 17842822 - 18023499,1,0,0,1,,,,,0.4,LCORL_4_17792869
KDSR,18 : 60994959 - 61034743,1,0,0,1,,,,,0.4,BCL2A_18_60668270
HCN1,5 : 45255052 - 45696600,1,0,0,1,,,,,0.4,MRPS30_5_44682589
GNAS,20 : 57414773 - 57486247,1,0,0,1,,,,,0.4,GNAS_20_57394628
FBXW7,4 : 153241696 - 153457215,1,0,0,1,,,,,0.4,TMEM154_4_153513369
CYHR1,8 : 145674965 - 145691060,1,0,0,1,,,,,0.4,BOP1_8_145507304
CRHR2,7 : 30691559 - 30739745,1,0,0,1,,,,,0.4,CRHR2_7_30728452
ATE1,10 : 123499936 - 123688316,1,0,0,1,,,,,0.4,WDR11_10_122915345
AQP7,9 : 33383177 - 33402680,1,0,0,1,,,,,0.4,UBAP2_9_34074476
APIP,11 : 34874641 - 34938046,1,0,0,1,,,,,0.4,PDHX_11_34982148
AGBL2,11 : 47681143 - 47736941,1,0,0,1,,,,,0.4,CELF1_11_47529947
ADAMTS9,3 : 64501330 - 64673676,1,0,0,1,,,,,0.4,ADAMTS9_3_64701146
ZC3H4,19 : 47567444 - 47617009,1,0,0,1,,,,,0.44,ZC3H4_19_47569003
TFAP2B,6 : 50786436 - 50815326,1,0,0,1,,,,,0.44,TFAP2B_6_50788778
STX16,20 : 57226309 - 57254582,1,0,0,1,,,,,0.44,GNAS_20_57394628
SGCB,4 : 52886872 - 52904648,1,0,0,1,,,,,0.44,USP46_4_52818664
RBP4,10 : 95351444 - 95361501,1,0,0,1,,,,,0.44,HHEX_IDE_10_94479107
RAB1A,2 : 65297830 - 65357465,1,0,0,1,,,,,0.44,CEP68_2_65355270
PRICKLE2,3 : 64077918 - 64431152,1,0,0,1,,,,,0.44,PSMD6_3_64460694
PLEKHA1,10 : 124134212 - 124202118,1,0,0,1,,,,,0.44,PLEKHA1_10_124193181
LHFPL3,7 : 103969104 - 104547679,1,0,0,1,,,,,0.44,RELN_7_102987583
ITPKA,15 : 41785591 - 41795749,1,0,0,1,,,,,0.44,LTK_15_41809205
IDO1,8 : 39759794 - 39785963,1,0,0,1,,,,,0.44,ANK1_8_41509915
HORMAD2,22 : 30476163 - 30573064,1,0,0,1,,,,,0.44,MTMR3_ASCC2_22_30609554
CYB5D2,17 : 4046462 - 4090605,1,0,0,1,,,,,0.44,ZZEF1_17_4045440
C6orf106,6 : 34587288 - 34696859,1,0,0,1,,,,,0.44,HMGA1_6_34524698
C17orf58,17 : 67991099 - 67996469,1,0,0,1,,,,,0.44,BPTF_17_65892507
ADD1,4 : 2845584 - 2931803,1,0,0,1,,,,,0.44,HTT_4_3241845
ACVR1C,2 : 158383279 - 158485517,1,0,0,1,,,,,0.44,CYTIP_2_158339550
ACSL1,4 : 185676749 - 185747972,1,0,0,1,,,,,0.44,ACSL1_4_185717759
ABCG8,2 : 44059081 - 44110126,1,0,0,1,,,,,0.44,THADA_2_43698028
ZZEF1,17 : 3907739 - 4046314,1,0,0,1,,,,,0.48,ZZEF1_17_4045440
ZMYND8,20 : 45837859 - 45985633,1,0,0,1,,,,,0.48,EYA2_20_45598564
ZBTB46,20 : 62375019 - 62462597,1,0,0,1,,,,,0.48,ZBTB46_20_62450664
WDR72,15 : 53805938 - 54055075,1,0,0,1,,,,,0.48,WDR72_15_53747228
SHBG,17 : 7517264 - 7536701,1,0,0,1,,,,,0.48,ATP1B2_17_7549681
SCN4A,17 : 62015914 - 62050278,1,0,0,1,,,,,0.48,ACE_17_62203304
RSPO3,6 : 127439749 - 127518910,1,0,0,1,,,,,0.48,CENPW_6_126792095
PPP4R3A,14 : 91923955 - 91976898,1,0,0,1,,,,,0.48,SMEK1_14_91963722
NR1D2,3 : 23986751 - 24022109,1,0,0,1,,,,,0.48,UBE2E2_3_23510044
NDUFS4,5 : 52856463 - 52979170,1,0,0,1,,,,,0.48,ARL15_5_52774510
MYC,8 : 128747680 - 128753680,1,0,0,1,,,,,0.48,CASC11_8_128711742
LPP,3 : 187871072 - 188608460,1,0,0,1,,,,,0.48,LPP_3_187740899
KCNJ1,11 : 128706210 - 128737268,1,0,0,1,,,,,0.48,ETS1_11_128042575
HHEX,10 : 94449708 - 94455403,1,0,0,1,,,,,0.48,HHEX_IDE_10_94462427
GNG4,1 : 235710987 - 235814054,1,0,0,1,,,,,0.48,GNG4_1_235690800
DNAH2,17 : 7620672 - 7737062,1,0,0,1,,,,,0.48,ATP1B2_17_7549681
CTNS,17 : 3539762 - 3564836,1,0,0,1,,,,,0.48,ZZEF1_17_3828086
CDKN2C,1 : 51426417 - 51440305,1,0,0,1,,,,,0.48,FAF1_1_51256091
C9orf3,9 : 94726699 - 95087159,1,0,0,1,,,,,0.48,ZNF169_9_97497494
NOTCH2,1 : 120454176 - 120612240,1,0,1,0,,,0.746099591,1 : 120211253 - 120711254,,
TMEM150C,4 : 83404323 - 83483510,1,0,1,0,,,0.748610139,4 : 83337562 - 83837563,,
RNF6,13 : 26706253 - 26796630,1,0,1,0,,,0.74890995,13 : 26526999 - 27027000,,
PNPLA5,22 : 44275558 - 44287893,1,0,1,0,,,0.749658763,22 : 44074730 - 44574731,,
THADA,2 : 43457975 - 43823185,1,0,1,0,,,0.750121057,2 : 43179806 - 44270442,,
PTPN9,15 : 75755592 - 75871630,1,0,1,0,,,0.750562251,15 : 75678192 - 76178193,,
SIN3A,15 : 75661720 - 75748183,1,0,1,0,,,0.750562251,15 : 75678192 - 76178193,,
FBXL22,15 : 63889552 - 63894627,1,0,1,0,,,0.75707072,15 : 63611730 - 64362635,,
SNX33,15 : 75940247 - 75954642,1,0,1,0,,,0.758561671,15 : 75678192 - 76178193,,
MALSU1,7 : 23338358 - 23351348,1,0,1,0,,,0.760503769,7 : 23262896 - 23762897,,
C2CD4A,15 : 62359176 - 62363116,1,0,1,0,,,0.760926425,15 : 62144264 - 62644265,,
CEBPB,20 : 48807271 - 48809226,1,0,1,0,,,0.762746692,20 : 48580772 - 49080773,,
CDK8,13 : 26828241 - 26979375,1,0,1,0,,,0.764161646,13 : 26526999 - 27027000,,
SCN3A,2 : 165944032 - 166060577,1,0,1,0,,,0.766439319,2 : 165258389 - 166012010,,
MOV10L1,22 : 50528308 - 50600119,1,0,1,0,,,0.767877817,22 : 50106850 - 50606851,,
DAPK2,15 : 64199235 - 64364232,1,0,1,0,,,0.773158967,15 : 63611730 - 64362635,,
HERC1,15 : 63900817 - 64126141,1,0,1,0,,,0.773158967,15 : 63611730 - 64362635,,
USP3,15 : 63796710 - 63886839,1,0,1,0,,,0.773158967,15 : 63611730 - 64362635,,
ZFP36L2,2 : 43449541 - 43453748,1,0,1,0,,,0.774204373,2 : 43179806 - 44270442,,
CYTIP,2 : 158271131 - 158345473,1,0,1,0,,,0.775381386,2 : 158075760 - 158575761,,
ITGB6,2 : 160956177 - 161056824,1,1,0,0,WEAK,,,,,
DNLZ,9 : 139253932 - 139258241,1,1,0,0,WEAK,,,,,
CTNNAL1,9 : 111704849 - 111775809,1,1,0,0,WEAK,,,,,
CDK2AP1,12 : 123745518 - 123756881,1,1,0,0,WEAK,,,,,
